name,"38383196: I will not discuss this exam with peers, friends, family, neighbors until the week after the exam.  Answering this question with ""false"" calls into question your academic integrity and will lead to a total invalidation of your exam score.",0,"38383197: A shaft with a uniform circular cross-section, under a single torsional load experiences the greatest shear stress (magnitude) on the outer surface.  Assume that this shaft is fixed at one end and the torsional load is applied to the free end.",3,38423080: A simply supported beam with a downward point load at its center has,4,"38423083: 
A beam purely subjected to a negative bending moment has:
",3,"38423158: This problem does not have partial credit.
What is the absolute value of the maximum bending moment suffered by this beam (report your answer in kN-m)
",6,"38423177: This problem has partial credit.  Please show your work in the space on paper to be eligible for partial credit.  The numerical accuracy of this problem is judged in this canvas portion.  This is binary -- your answer is either right or it is wrong.  The communication quality is judged by the instructor, separately.  The total score is the score for numerical accuracy + communication quality score.
The beam is constructed from four pieces of wood, glued together as shown. If M = 10 kip- ft, determine the absolute value of maximum bending normal stress in the beam (express your answer in ksi).

 ",10,38383213: Statically indeterminate torsion problems can be solved after,3,38423079: A cantilever with its left end fixed and loaded by a downward point load at its free end has a,4,38383206: A beam purely subjected to a positive bending moment has:,3,"38423168: This question does not have partial credit.
What is the absolute value of the maximum bending moment suffered by this beam (report your answer in kN-m)
",6,38423081: A simply supported beam with a downward acting point load at its center has,4,38383200: A simply supported beam subjected to only a moment at it's center does not have a shear force diagram but does possess a bending moment diagram.,4,"38383199: The Hooke's law as directly relevant to torsional shear stress, in circular shafts is",3,38383214: A simply supported beam with a downward point load centrally located on it's span has a,4,n correct,n incorrect,score
Susan Martinez,True,0,True,3,Constant level of shear force in the left section,4,Fibers above the neutral axis in tension and fibers below the neutral axis in compression.,3,108.75,6,1.461,10,,,,,,,,,,,,,,,,,6,0,26
Kari Ward,True,0,,,,,,,,,1.46,10,The application of compatibility condition for angular twist,3,Maximum bending moment at the fixed end,4,Fibers above the neutral axis in compression and fibers below the neutral axis in tension.,3,11,6,,,,,,,,,6,0,26
Dennis Hopkins,True,0,,,,,Fibers above the neutral axis in tension and fibers below the neutral axis in compression.,3,,,17.31,0,The application of compatibility condition for angular twist,3,,,,,11,6,linear bending moment distribution in its right section,4,,,,,,,5,1,16
Paul Hill,True,0,True,3,Constant level of shear force in the left section,4,,,,,1.46,10,,,,,Fibers above the neutral axis in compression and fibers below the neutral axis in tension.,3,7,0,,,,,,,,,5,1,20
Larry Obrien,True,0,True,3,,,Fibers above the neutral axis in compression and fibers below the neutral axis in tension.,0,85.75,0,1.46,10,,,,,,,,,,,False,4,,,,,4,2,17
Adrienne Carey,True,0,True,3,,,Fibers above the neutral axis in tension and fibers below the neutral axis in compression.,3,120,0,1.17,0,,,Maximum bending moment at the fixed end,4,,,,,,,,,,,,,4,2,10
Nicholas Lopez,True,0,,,Constant level of shear force in the left section,4,,,,,1.461,10,The application of compatibility condition for angular twist,3,,,Fibers above the neutral axis in compression and fibers below the neutral axis in tension.,3,11,6,,,,,,,,,6,0,26
Sheryl Salazar,True,0,True,3,,,,,,,240,0,,,Maximum bending moment at the fixed end,4,Fibers above the neutral axis in compression and fibers below the neutral axis in tension.,3,14,0,,,,,,,,,4,2,10
Christopher Thompson,True,0,,,,,,,108.75,6,210.39,0,The application of compatibility condition for angular twist,3,,,Fibers above the neutral axis in compression and fibers below the neutral axis in tension.,3,,,Quadratic bending moment throughout,0,,,,,,,4,2,12
Troy Foster MD,True,0,False,0,,,Fibers above the neutral axis in tension and fibers below the neutral axis in compression.,3,,,1.46,10,,,,,,,11,6,,,True,0,,,,,4,2,19
Brittany Holt,True,0,,,,,,,137.5,0,1.46,10,,,Maximum bending moment at the fixed end,4,Fibers above the neutral axis in compression and fibers below the neutral axis in tension.,3,,,,,,,,3,,,5,1,20
